"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",spring-webmvc-6.1.1.jar,/home/ubuntu/.m2/repository/org/springframework/spring-webmvc/6.1.1/spring-webmvc-6.1.1.jar,Spring Web MVC,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",072af77e31540979e44865e57e4ff3cf,76c4408b67828aa9656f5955dc2c1c4c0e1b6da3,pkg:maven/org.springframework/spring-webmvc@6.1.1,"cpe:2.3:a:pivotal_software:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:web_project:web:6.1.1:*:*:*:*:*:*:*",CVE-2024-38820,NVD-CWE-noinfo,"The fix for CVE-2022-22968 made disallowedFields patterns in DataBinder case insensitive. However, String.toLowerCase() has some Locale dependent exceptions that could potentially result in fields not protected as expected.",NVD,"","","",MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,HIGH,37,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",spring-webmvc-6.1.1.jar,/home/ubuntu/.m2/repository/org/springframework/spring-webmvc/6.1.1/spring-webmvc-6.1.1.jar,Spring Web MVC,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",072af77e31540979e44865e57e4ff3cf,76c4408b67828aa9656f5955dc2c1c4c0e1b6da3,pkg:maven/org.springframework/spring-webmvc@6.1.1,"cpe:2.3:a:pivotal_software:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:web_project:web:6.1.1:*:*:*:*:*:*:*",CVE-2024-22259,"","Applications that use UriComponentsBuilder in Spring Framework to parse an externally provided URL (e.g. through a query parameter) AND perform validation checks on the host of the parsed URL may be vulnerable to a  open redirect https://cwe.mitre.org/data/definitions/601.html  attack or to a SSRF attack if the URL is used after passing validation checks.  This is the same as  CVE-2024-22243 https://spring.io/security/cve-2024-22243 , but with different input.",NVD,"","","","","","",HIGH,37,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",tomcat-embed-core-10.1.16.jar,/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.16/tomcat-embed-core-10.1.16.jar,Core Tomcat implementation,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",2e10aec04f55e395d5a59c85e0e6601c,176162fb3998856a90436826034ffe5d25beaeb9,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.16,cpe:2.3:a:apache:tomcat:10.1.16:*:*:*:*:*:*:*,CVE-2025-24813,"CWE-502 Deserialization of Untrusted Data, CWE-706 Use of Incorrectly-Resolved Name or Reference","Path Equivalence: 'file.Name' (Internal Dot) leading to Remote Code Execution and/or Information disclosure and/or malicious content added to uploaded files via write enabled Default Servlet in Apache Tomcat.  This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.2, from 10.1.0-M1 through 10.1.34, from 9.0.0.M1 through 9.0.98.  If all of the following were true, a malicious user was able to view       security sensitive files and/or inject content into those files: - writes enabled for the default servlet (disabled by default) - support for partial PUT (enabled by default) - a target URL for security sensitive uploads that was a sub-directory of a target URL for public uploads - attacker knowledge of the names of security sensitive files being uploaded - the security sensitive files also being uploaded via partial PUT  If all of the following were true, a malicious user was able to       perform remote code execution: - writes enabled for the default servlet (disabled by default) - support for partial PUT (enabled by default) - application was using Tomcat's file based session persistence with the default storage location - application included a library that may be leveraged in a deserialization attack  Users are recommended to upgrade to version 11.0.3, 10.1.35 or 9.0.99, which fixes the issue.",NVD,"","","",CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,63,Apache,Tomcat,Apache Tomcat Path Equivalence Vulnerability,2025-04-01,"Apache Tomcat contains a path equivalence vulnerability that allows a remote attacker to execute code, disclose information, or inject malicious content via a partial PUT request.","Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",2025-04-22,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see: https://lists.apache.org/thread/j5fkjv2k477os90nczf2v9l61fb0kkgq ; https://nvd.nist.gov/vuln/detail/CVE-2025-24813"
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",tomcat-embed-core-10.1.16.jar,/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.16/tomcat-embed-core-10.1.16.jar,Core Tomcat implementation,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",2e10aec04f55e395d5a59c85e0e6601c,176162fb3998856a90436826034ffe5d25beaeb9,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.16,cpe:2.3:a:apache:tomcat:10.1.16:*:*:*:*:*:*:*,CVE-2025-31651,"","Improper Neutralization of Escape, Meta, or Control Sequences vulnerability in Apache Tomcat. For a subset of unlikely rewrite rule configurations, it was possible  for a specially crafted request to bypass some rewrite rules. If those  rewrite rules effectively enforced security constraints, those  constraints could be bypassed.  This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.5, from 10.1.0-M1 through 10.1.39, from 9.0.0.M1 through 9.0.102.  Users are recommended to upgrade to version [FIXED_VERSION], which fixes the issue.",NVD,"","","",CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGH,63,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",tomcat-embed-core-10.1.16.jar,/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.16/tomcat-embed-core-10.1.16.jar,Core Tomcat implementation,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",2e10aec04f55e395d5a59c85e0e6601c,176162fb3998856a90436826034ffe5d25beaeb9,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.16,cpe:2.3:a:apache:tomcat:10.1.16:*:*:*:*:*:*:*,CVE-2024-38286,"","Allocation of Resources Without Limits or Throttling vulnerability in Apache Tomcat.  This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.0-M20, from 10.1.0-M1 through 10.1.24, from 9.0.13 through 9.0.89. Older, unsupported versions may also be affected.   Users are recommended to upgrade to version 11.0.0-M21, 10.1.25, or 9.0.90, which fixes the issue.    Apache Tomcat, under certain configurations on any platform, allows an attacker to cause an OutOfMemoryError by abusing the TLS handshake process.",NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,63,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",tomcat-embed-core-10.1.16.jar,/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.16/tomcat-embed-core-10.1.16.jar,Core Tomcat implementation,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",2e10aec04f55e395d5a59c85e0e6601c,176162fb3998856a90436826034ffe5d25beaeb9,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.16,cpe:2.3:a:apache:tomcat:10.1.16:*:*:*:*:*:*:*,CVE-2025-31650,"","Improper Input Validation vulnerability in Apache Tomcat. Incorrect error handling for some invalid HTTP priority headers resulted in incomplete clean-up of the failed request which created a memory leak. A large number of such requests could trigger an OutOfMemoryException resulting in a denial of service.  This issue affects Apache Tomcat: from 9.0.76 through 9.0.102, from 10.1.10 through 10.1.39, from 11.0.0-M2 through 11.0.5.  Users are recommended to upgrade to version 9.0.104, 10.1.40 or 11.0.6 which fix the issue.",NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,63,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",tomcat-embed-core-10.1.16.jar,/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.16/tomcat-embed-core-10.1.16.jar,Core Tomcat implementation,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",2e10aec04f55e395d5a59c85e0e6601c,176162fb3998856a90436826034ffe5d25beaeb9,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.16,cpe:2.3:a:apache:tomcat:10.1.16:*:*:*:*:*:*:*,CVE-2024-23672,"","Denial of Service via incomplete cleanup vulnerability in Apache Tomcat. It was possible for WebSocket clients to keep WebSocket connections open leading to increased resource consumption.This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.0-M16, from 10.1.0-M1 through 10.1.18, from 9.0.0-M1 through 9.0.85, from 8.5.0 through 8.5.98.  Users are recommended to upgrade to version 11.0.0-M17, 10.1.19, 9.0.86 or 8.5.99 which fix the issue.",NVD,"","","","","","",HIGH,63,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",tomcat-embed-core-10.1.16.jar,/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.16/tomcat-embed-core-10.1.16.jar,Core Tomcat implementation,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",2e10aec04f55e395d5a59c85e0e6601c,176162fb3998856a90436826034ffe5d25beaeb9,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.16,cpe:2.3:a:apache:tomcat:10.1.16:*:*:*:*:*:*:*,CVE-2024-24549,NVD-CWE-noinfo,"Denial of Service due to improper input validation vulnerability for HTTP/2 requests in Apache Tomcat. When processing an HTTP/2 request, if the request exceeded any of the configured limits for headers, the associated HTTP/2 stream was not reset until after all of the headers had been processed.This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.0-M16, from 10.1.0-M1 through 10.1.18, from 9.0.0-M1 through 9.0.85, from 8.5.0 through 8.5.98.  Users are recommended to upgrade to version 11.0.0-M17, 10.1.19, 9.0.86 or 8.5.99 which fix the issue.",NVD,"","","","","","",HIGH,63,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",tomcat-embed-core-10.1.16.jar,/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.16/tomcat-embed-core-10.1.16.jar,Core Tomcat implementation,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",2e10aec04f55e395d5a59c85e0e6601c,176162fb3998856a90436826034ffe5d25beaeb9,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.16,cpe:2.3:a:apache:tomcat:10.1.16:*:*:*:*:*:*:*,CVE-2024-34750,"","Improper Handling of Exceptional Conditions, Uncontrolled Resource Consumption vulnerability in Apache Tomcat. When processing an HTTP/2 stream, Tomcat did not handle some cases of excessive HTTP headers correctly. This led to a miscounting of active HTTP/2 streams which in turn led to the use of an incorrect infinite timeout which allowed connections to remain open which should have been closed.  This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.0-M20, from 10.1.0-M1 through 10.1.24, from 9.0.0-M1 through 9.0.89.  Users are recommended to upgrade to version 11.0.0-M21, 10.1.25 or 9.0.90, which fixes the issue.",NVD,"","","","","","",HIGH,63,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",tomcat-embed-core-10.1.16.jar,/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.16/tomcat-embed-core-10.1.16.jar,Core Tomcat implementation,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",2e10aec04f55e395d5a59c85e0e6601c,176162fb3998856a90436826034ffe5d25beaeb9,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.16,cpe:2.3:a:apache:tomcat:10.1.16:*:*:*:*:*:*:*,CVE-2024-50379,"","Time-of-check Time-of-use (TOCTOU) Race Condition vulnerability during JSP compilation in Apache Tomcat permits an RCE on case insensitive file systems when the default servlet is enabled for write (non-default configuration).  This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.1, from 10.1.0-M1 through 10.1.33, from 9.0.0.M1 through 9.0.97.  Users are recommended to upgrade to version 11.0.2, 10.1.34 or 9.0.98, which fixes the issue.",NVD,"","","","","","",HIGH,63,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",tomcat-embed-core-10.1.16.jar,/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.16/tomcat-embed-core-10.1.16.jar,Core Tomcat implementation,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",2e10aec04f55e395d5a59c85e0e6601c,176162fb3998856a90436826034ffe5d25beaeb9,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.16,cpe:2.3:a:apache:tomcat:10.1.16:*:*:*:*:*:*:*,CVE-2024-52316,CWE-754 Improper Check for Unusual or Exceptional Conditions,"Unchecked Error Condition vulnerability in Apache Tomcat. If Tomcat is configured to use a custom Jakarta Authentication (formerly JASPIC) ServerAuthContext component which may throw an exception during the authentication process without explicitly setting an HTTP status to indicate failure, the authentication may not fail, allowing the user to bypass the authentication process. There are no known Jakarta Authentication components that behave in this way.  This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.0-M26, from 10.1.0-M1 through 10.1.30, from 9.0.0-M1 through 9.0.95.  Users are recommended to upgrade to version 11.0.0, 10.1.31 or 9.0.96, which fix the issue.",NVD,"","","","","","",HIGH,63,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",tomcat-embed-core-10.1.16.jar,/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.16/tomcat-embed-core-10.1.16.jar,Core Tomcat implementation,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",2e10aec04f55e395d5a59c85e0e6601c,176162fb3998856a90436826034ffe5d25beaeb9,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.16,cpe:2.3:a:apache:tomcat:10.1.16:*:*:*:*:*:*:*,CVE-2024-54677,"","Uncontrolled Resource Consumption vulnerability in the examples web application provided with Apache Tomcat leads to denial of service.  This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.1, from 10.1.0-M1 through 10.1.33, from 9.0.0.M1 through 9.9.97.  Users are recommended to upgrade to version 11.0.2, 10.1.34 or 9.0.98, which fixes the issue.",NVD,"","","","","","",HIGH,63,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",tomcat-embed-core-10.1.16.jar,/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.16/tomcat-embed-core-10.1.16.jar,Core Tomcat implementation,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",2e10aec04f55e395d5a59c85e0e6601c,176162fb3998856a90436826034ffe5d25beaeb9,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.16,cpe:2.3:a:apache:tomcat:10.1.16:*:*:*:*:*:*:*,CVE-2024-56337,"","Time-of-check Time-of-use (TOCTOU) Race Condition vulnerability in Apache Tomcat.  This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.1, from 10.1.0-M1 through 10.1.33, from 9.0.0.M1 through 9.0.97.  The mitigation for CVE-2024-50379 was incomplete.  Users running Tomcat on a case insensitive file system with the default servlet write enabled (readonly initialisation  parameter set to the non-default value of false) may need additional configuration to fully mitigate CVE-2024-50379 depending on which version of Java they are using with Tomcat: - running on Java 8 or Java 11: the system property sun.io.useCanonCaches must be explicitly set to false (it defaults to true) - running on Java 17: the system property sun.io.useCanonCaches, if set, must be set to false (it defaults to false) - running on Java 21 onwards: no further configuration is required (the system property and the problematic cache have been removed)  Tomcat 11.0.3, 10.1.35 and 9.0.99 onwards will include checks that sun.io.useCanonCaches is set appropriately before allowing the default servlet to be write enabled on a case insensitive file system. Tomcat will also set sun.io.useCanonCaches to false by default where it can.",NVD,"","","","","","",HIGH,63,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",tomcat-embed-core-10.1.16.jar,/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.16/tomcat-embed-core-10.1.16.jar,Core Tomcat implementation,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",2e10aec04f55e395d5a59c85e0e6601c,176162fb3998856a90436826034ffe5d25beaeb9,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.16,cpe:2.3:a:apache:tomcat:10.1.16:*:*:*:*:*:*:*,CVE-2025-46701,"","Improper Handling of Case Sensitivity vulnerability in Apache Tomcat's GCI servlet allows security constraint bypass of security constraints that apply to the pathInfo component of a URI mapped to the CGI servlet.  This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.6, from 10.1.0-M1 through 10.1.40, from 9.0.0.M1 through 9.0.104.  Users are recommended to upgrade to version 11.0.7, 10.1.41 or 9.0.105, which fixes the issue.",NVD,"","","","","","",HIGH,63,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",tomcat-embed-core-10.1.16.jar,/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.16/tomcat-embed-core-10.1.16.jar,Core Tomcat implementation,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",2e10aec04f55e395d5a59c85e0e6601c,176162fb3998856a90436826034ffe5d25beaeb9,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.16,cpe:2.3:a:apache:tomcat:10.1.16:*:*:*:*:*:*:*,CVE-2025-48988,"","Allocation of Resources Without Limits or Throttling vulnerability in Apache Tomcat.  This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.7, from 10.1.0-M1 through 10.1.41, from 9.0.0.M1 through 9.0.105.  Users are recommended to upgrade to version 11.0.8, 10.1.42 or 9.0.106, which fix the issue.",NVD,"","","","","","",HIGH,63,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",tomcat-embed-core-10.1.16.jar,/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.16/tomcat-embed-core-10.1.16.jar,Core Tomcat implementation,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",2e10aec04f55e395d5a59c85e0e6601c,176162fb3998856a90436826034ffe5d25beaeb9,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.16,cpe:2.3:a:apache:tomcat:10.1.16:*:*:*:*:*:*:*,CVE-2025-49124,"","Untrusted Search Path vulnerability in Apache Tomcat installer for Windows. During installation, the Tomcat installer for Windows used icacls.exe without specifying a full path.  This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.7, from 10.1.0 through 10.1.41, from 9.0.23 through 9.0.105.  Users are recommended to upgrade to version 11.0.8, 10.1.42 or 9.0.106, which fix the issue.",NVD,"","","","","","",HIGH,63,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",tomcat-embed-core-10.1.16.jar,/home/ubuntu/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.16/tomcat-embed-core-10.1.16.jar,Core Tomcat implementation,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",2e10aec04f55e395d5a59c85e0e6601c,176162fb3998856a90436826034ffe5d25beaeb9,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.16,cpe:2.3:a:apache:tomcat:10.1.16:*:*:*:*:*:*:*,CVE-2025-49125,"","Authentication Bypass Using an Alternate Path or Channel vulnerability in Apache Tomcat.  When using PreResources or PostResources mounted other than at the root of the web application, it was possible to access those resources via an unexpected path. That path was likely not to be protected by the same security constraints as the expected path, allowing those security constraints to be bypassed.  This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.7, from 10.1.0-M1 through 10.1.41, from 9.0.0.M1 through 9.0.105.  Users are recommended to upgrade to version 11.0.8, 10.1.42 or 9.0.106, which fix the issue.",NVD,"","","","","","",HIGH,63,"","","","","","","",""
